,True Captions,RNN With Dropout Layers,RNN Without Dropout,LogisticDecoder
1096165011_cc5eb16aa6.jpg,"['a boy smiles underwater', 'a red-headed boy swimming underwater', 'a small boy swimming underwater', 'a smiling boy swims underwater in a pool', 'the boys smiles underwater at the pool']",a small girl and a boy in striped shorts playing in ocean water,a swimmer jumping underwater,a girl of dark blue yellow underwater in hand up water
1130369873_d80a1aa59c.jpg,"['a brown dog is running through neck-deep water carrying a tennis ball', 'a brown dog splashes in the water while carrying a ball in its mouth', 'a brown dog swims through water outdoors with a tennis ball in its mouth', 'a red dog holding a ball splashes through vegetation filled water', 'brown dog with tennis ball in mouth in water and bushes']",a large brown dog is running in snow,a grey dog standing in a red beam,the brown dog is playing rag
1143882946_1898d2eeb9.jpg,"['a lady wearing a helmet holding a bike', 'a woman in a blue vest and a sky blue helmet stands with her bicycle in traffic', 'a woman in a helmet rides her bike behind a car', 'a woman with a helmet and a backpack walks next to her bike', 'women with bike and helmet wait for traffic']",a ambulance rides through a dirt field that is lined a heavily far back,a mother rock climbing a rock,a young in looks bike blue over two picture rides car car with a
1174629344_a2e1a2bdbf.jpg,"['a crowd of people walk down a busy sidewalk', 'a group of different people are walking in all different directions in a city', 'a group of people walking a city street in warm weather', 'busy intersection in the summer time in a city', 'people in summer clothes are walking on the sidewalk of a large city']",a busy city street,a few people walk on a street inside at night,woman man of in at are walk and standing shorts crowd pictures and
1176580356_9810d877bf.jpg,"['a big dog catches a ball on his nose', 'a brown and black dog is jumping to catch a red ball', 'a brown and black dog jumps for a red ball', 'dog jumps to get orange ball on his head', 'the brown and black dog is jumping up to catch a red ball']",a medium sized dog is running in an obstacle course,a beige dog standing in a blue disk with toy,dog dog dog is a grass item grass ball a stick of the
118187095_d422383c81.jpg,"['parents are pushing little children in red car carts', 'twin boys being pushed in small car shaped strollers in a parade', 'twin toddlers dressed alike being pushed in plastic car strollers in a parade', 'two children ride in toy cars', 'two kids being pushed in car shaped strollers in a parade']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a little car on a red wrapped his from and in an boy at beach
1235681222_819231767a.jpg,"['a person in a blue shirt sits behind two people sitting on a wood bench', 'people sit on benches', 'people sitting on benches in a public area', 'three people sit on wood benches set on white and orange tile', 'three people sit waiting in a lobby']",a male jumps over a rock,a seated girl wearing a red shirt slides down a white jungle gym,four group of on each over a on little obstacle building a with wooden carrying
1236964638_1808784a3c.jpg,"['a boy flips off a diving board into a pool', 'a boy is diving off a diving board into a swimming pool', 'a child is diving into a pool', 'a child jumping into a swimming pool from the diving board', 'child flips off pool diving board man and another tumbling child at poolside']",a muddy large young boy in a harness jumps from a bent rail,a blond child with a blue shirt poses on orange water pit fence,the swimmer is is shorts shorts in does in on water a in net
1244306891_8e78ae1620.jpg,"['smiling girls in bathing suits sitting on the sand', 'a group of friends smile for a picture at the beach', 'a group of young ladies in bikinis', 'the three girls in bathing suits are all smiles', 'the three girls sat on the beach']",a male skiing rider is standing in front of a white barrels near a pool,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an group of dark beach looking goggles suit the two with a hand swimming to
1267711451_e2a754b4f8.jpg,"['a black and white dog carrying a large stick', 'a black and white dog is carrying a stick in its mouth', 'a black and white dog walking through the grass with a long stick in his mouth', 'a dog holds a stick in its mouth', 'a dog trots across the ground with a large stick in his mouth']",a golden retriever jumps on a brown cushion,a closeup of a dog is running across water,dog black and white dog near the and
1271960365_e54033f883.jpg,"['a black dog runs after another black dog who is carrying a ball', 'two black dogs are running on pavement', 'two black dogs are trotting through an empty public area', 'two black dogs running', 'two dogs are playing on a hardscape']",a german shepherd runs in a snow pathway,a beige dog standing in a blue container with his dog approaches splashing sand,two dogs dog on dog the to black black dogs beach skate its in the
1280320287_b2a4b9b7bd.jpg,"['a man is pulled behind a boat on a knee board while another doing the same begins to fall', 'two boys wakeboard', 'two boys waterskiing', 'two people are wakeboarding in the water and are being pulled by a boat', 'two younger people are being pulled on watercraft behind a boat']",a fat child holding a rope,a ship climbing the water,the ski a midair harness are boat shallow water fishing a a in a been
1296412797_85b6d2f8d6.jpg,"['a child is being swung by her arms while another child watches', 'a child is sprawled underneath a blanket in midair', 'a little girl in a sweater is swung around by an unseen hand', 'a young child is swung by his or her hands while another child sits on grass watching', 'the little girl is being swung around by her arms']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,three girl wearing shorts purple is doing over an flying in catch by in watching
1301140633_046e4e8010.jpg,"['a boy in a blue shirt with dirt on his face', 'a boy with a dirty face smiles', 'a child with a dirty face looks at the camera and smiles', 'blond child with dirty face holding yellow bottle with red cap plants in background', 'the boy has blonde hair and a dirty face']",a father shooting upside down in a patch of leaves,a blond girl wearing a red shirt points into the water fountain,an older man is and with pink sticks
1303548017_47de590273.jpg,"['a girl poses on the train tracks near a station', 'a woman wearing a green shirt stands on the railroad tracks', 'a young female in a green tank top and shorts standing in the middle of the railroad tracks', 'girl with green tank top standing in the middle of a train track with multicolor train cars to the right', 'the girl with the green tank top and grey shorts is standing in the middle of the empty railroad track']",a bare skater rides a bike,a mother stands on a skateboard,woman children is at in bridge a in little shorts of on tracks street
1311132744_5ffd03f831.jpg,"['a black and grey dog runs in a field with its tongue hanging out', 'a black dog with a red collar runs through grass', 'a black dog with a red collar walks through the grass with his mouth open and tongue hanging out', 'a dog with a red collar and its tongue hanging out runs through tall grass', 'a dog with red collar is running in the field']",a wet black dog is running in snow,a tan dog running in a grass area,black black with is running the the swampy
1316247213_1d2c726dd5.jpg,"['a closeup of a little girl laughing', 'a girl in a purple shirt and a pink snoopy hat is laughing', 'a young girl wearing a snoopy hat and purple shirt stands smiling', 'the girl in the purple top and shorts wearing a hat is laughing', 'the little girl smiles at the camera with her eyes closed']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an young girls in a the short sleeved
1332492622_8c66992b62.jpg,"['a group of people stand on a balcony near a colorful circus building', 'a woman and children navigate the balcony of an amusement ride', 'a woman and two children walking through the upper levels of a carnival attraction', 'people stand on a colorful balcony', 'people walking in brightly-colored building']",a brunette girl running on a beach outside,a bride floats and against a man outside,two people girl at to are near in tent of a cow with
1332823164_c70a5d930e.jpg,"['a girl standing in the ocean', 'a girl walks in the ocean', 'a woman in a red jacket stands on the beach facing the water as it covers her feet', 'a woman is watching the tide', 'woman standing on the shore of a beach']",a toddler wearing red and white is throwing her surfboard,a female painting the water,a people in girls on walks beach in beach beach near a shore beach beach
1333888922_26f15c18c3.jpg,"['a brown-haired child in green shoes swings on a swing in a park near the woods', 'a child swings and the sunshine shines down on her', 'a child wearing crocs sits on a swing in a wooded area', 'a kid swings with his feet up in the air in a forest', 'the sun breaks through the trees as a child rides a swing']",a female looking fruit in a snow style parking lot,a blonde haired girl in a white hooded dress that is punching his shirt in a park,children girl of is playing are going his splash rail a spray with
1348957576_c4a78eb974.jpg,"['a blonde woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface', 'a man and a woman are sitting on the ground and surrounded by boats', 'a man and a woman sitting near small boats', 'the man and woman are sitting by the boats', 'two people sitting beside a few small boats']",a male jumps over a rock,a teenage girl sits in a brown cow with his yellow markings has sitting on a bench,woman man in a under and beach their pants a her landscape with and
1350811702_2ce7cfd0c5.jpg,"['a young boy casting his fishing line off a pier', 'children fishing off a bridge', 'people fishing over white fence', 'young boy standing next to water casting his fishing rod with others next to him', 'young boy wearing waders standing on a dock fishing other people are in the background']",a male jumps over a rock,a lone climber and a man in song carrying buildings in background,woman people of is standing bridge bridge in beach bridge of a white the standing
1356543628_c13ebe38fb.jpg,"['a girl carries a lot through the grass', 'a girl in a forest carrying camping gear', 'a girl in an orange shirt and pink sandals carries equipment', 'little girl in rural area carrying bags and stuffed animal', 'young girl carrying camping gear and a stuffed brown dog']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,the woman in a black jumps in his holding is a catch boy on runs
1362128028_8422d53dc4.jpg,"['kids play in a blue tub full of water outside', 'on a hot day three small kids sit in a big container filled with water', 'the little kids sit outdoors in a small tub of water', 'three children squeeze into a plastic tub filled with water and play', 'three little boys take a bath in a rubber bin on the grass']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a girl sits is sitting near near his playing sitting smile shirt black baby her
1363924449_487f0733df.jpg,"['a boy holds his hands on his head', 'a child with his hands on his head', 'a little boy in a striped shirt has his hands on his head', 'a little boy stands with his hands on top of his head', 'the blond boy wearing a striped shirt is walking through the grass']",a male jumps over a rock,a very kid climbs a yellow ball near two toys,a child girls is dresses hair and dresses
1368383637_614646cc4a.jpg,"['people stand in corridor looking from balcony as another person walks dog', 'people stand inside a windowed structure', 'three people and a black and white dog in bright industrial corridor', 'three people enjoying the view in a modern building', 'two people look over a terrace wall']",a girl's hands racer of a girl that has hands,a mother sits on a rock,the people of people of trying along on little
1370773415_967b1ffde1.jpg,"['a man and a woman standing outside a restaurant', 'a man and a woman tak outside of a coffee house', 'the woman in a red jacket is talking to a man outside of a store', 'two people are standing outside of a coffee house', 'two people stand outside a restaurant in the city']",a pirate teenagers posing on a street next to the two peoples grocery yellow,a bride waves while the man in colorful pants holds a star club,an group is people a of sweatshirt an front
1384292980_4022a7520c.jpg,"['the girls walk down the street', 'two asian females go walking', 'two women walking', 'two young women walking', 'two young women walk past a door in a white wall']",a japanese landscape of people on a crowded road in a darkened room,a police officer holds a black red skirt and gray a pillow smiles,five in laughs in each a the of
1388373425_3c72b56639.jpg,"['a woman in a black shirt is sitting next to a florescent green bag', 'a woman sits on a stone wall and talks on her phone', 'a woman speaks on her cellphone with her purse and a yellow bag on the ledge next to her', 'a woman with a backpack sitting outside a building with others', 'this woman is smiling and talking on the phone while sitting on a stone wall']",a mother with a red shirt is skateboarding,a wedding neighborhood street is walking,an person green green boy near stands a building of girl a a bag
1396703063_e8c3687afe.jpg,"['a man in a blue shirt cowboy hat and a cross neckless walking in front of a carnival or amusement park ride', 'a man in a hat white shirt and gold chain with a cross', 'a man wearing a cowboy hat and a gold cross around his neck', 'a man wearing a white shirt gold cross and a cowboy hat is standing in front of a roller coaster', 'a man with a hat is walking']",a family dressed in a black and orange mask walks,a teenage girl walking in a blue work area with a child's glass of a brown dog,an black wearing is at orange hat carrying pants is in man with around they
1397923690_d3bf1f799e.jpg,"['a man is carefully skiing down a snow covered hill wearing a backpack', 'a person skis down a snowy hill', 'a skier wearing a black backpack is making his way down a hill', 'a skier with poles is walking through the snow', 'a skier carefully walks down a steep snow slope']",a ski plane jumping on a large waters wave,a hiker doing a bicycle jump,the skier ride a going slope jump out standing
1403414927_5f80281505.jpg,"['a black dog in front of a white dog walking on a path in a forest', 'a white and a gray dog walking along a path in the wood', 'grey and black dogs running away down forest path', 'these two dogs are walking in a forest', 'white dog and black dog going down trail in wooded area']",a german shepherd runs in a field of long grass,a german shepherd running in a snow setting,two dog in is a jumps a dirt black is flowers
1414820925_3504c394e1.jpg,"['a man in red shorts jumping in back of a volleyball net', 'a man in red shorts jumps behind a volleyball net', 'a man in red swim trunks playing volleyball', 'athletic man spiking volleyball', 'guy in red shorts jumping up in front of volleyball net']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a yellow of is to is jumping in wood
1417295167_5299df6db8.jpg,"['a man holds a drink in one hand and looks at his cellphone', 'a man stares intently at his cellphone as he carries a green-colored drink', 'a man wearing glasses is reading his cellphone and holding a drink in the other hand', 'the man holds a drink and uses his cellphone', 'the young man is holding a drink and checking his cellphone']",a new st fan is holding a bouquet of beer,a very crowd of people and a moustache lies down a booth of food,a girl in is blue red hat in hat hand with a his open white
1420060020_7a6984e2ea.jpg,"['a boy wears a ninja suit and strikes a pose', 'a child in a black overall karate costume with a red front and yellow bird on it attacking', 'a masked person in a fight stance', 'a person in costume doing martial arts', 'the person is wearing a black and red outfit and is practicing combat']",a male jumps over a rock,a teenager holds the street boy in swim gear sits in shallow muddy water,a in in a black outfit pink shorts shirt is railing while by others street
143680442_2f03f76944.jpg,"['a climber is suspended on an overhang that overlooks a tree covered hill', 'a man is hanging from a cliff while rock climbing high above', 'a man mountain climbing hanging under a rock', 'a person hangs from a rocky cliff as they try to climb', 'someone is rock climbing and hanging under the edge of a cliff']",a hiker sitting on a dirt bike tire with plastic,a cyclist plays with a red and yellow rope in a canyon,a rider scales is a the the in pants
143680966_0010ff8c60.jpg,"['a man wearing a backpack is climbing a rock', 'a person climbing a large moss-covered rock', 'a person in an orange helmet climbs up a sheer cliff face', 'a rock climber looks up while traversing a route', 'this person is rock climbing']",a climber wearing a red jacket is hiking down the snow near some green snow,a male male cyclist jumping on a railing on his bike on the skateboard,a man rock repels up rope large in
1445754124_647168f211.jpg,"['a black and white dog climbs a leaning tree trunk', 'a black and white dog is walking up a bent tree', 'a gray dog climbs up a slanted tree', 'a gray dog is climbing up a low tree branch in a park', 'a gray mottled dog stands on the sloping trunk of a tree overlooking a grassy field']",a fancy hugged chains with a man dressed in green,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a people riding at a
1449625950_fc9a8d02d9.jpg,"['a brown dog and a tan dog are playing in tall grass', 'there is a white dog and a chocolate colored dog running in the grass', 'two dogs are playing together in the grass', 'two dogs play in a grassy field', 'two dogs running on grass']",a bull walks by a rock,a pack of dogs with white and green light playing,four dog brown is a running a of outside field grass field breaker
1464120327_d90279ca3a.jpg,"['a little boy presses his face a window', 'a little boy puts his face up to the uniquely-shaped window', 'a little boy stands up next to a window and cries', 'a young boy in a blue shirt presses against the glass for a better look at desserts', 'little boy peering into a glass display case']",a bald woman with a brown boy carrying her cap,a family sits on a street,an people of an under of a man wearing shorts tray
1466479163_439db855af.jpg,"['a brown dog runs through the grass holding something in its mouth', 'a brown dog runs with a toy in its mouth', 'a small dog runs in a field with a toy in its mouth', 'chocolate brown dog running on grass with something in its mouth', 'the dog is running with food in his mouth']",a furry black dog is running in grass,a fluffy black dog is running in sand,the dog dog is colorful jumps the grass
1470061031_4cb59c12a8.jpg,"['two brownish dogs are fighting', 'two dogs are fighting on brick pavement', 'two dogs playing with each other', 'two light golden colored dogs playfully wrestle together on the brick area', 'two pale brown dogs tussling on paved ground']",a blurry view of a dog in front of the the patio bar,a german shepherd running in a snow setting,four tan on in at the a by little snow dogs
1479679558_d0a01bc62b.jpg,"['a creek winds through the woods', 'a narrow stream runs between leaf-covered hills', 'a river is winding through a wooded area that is heavily leaf covered', 'a small brook meanders through the autumn woods', 'this is a small creek surrounded by autumn leaves that have fallen and bare trees']",a cyclist jumps over a hill,a dark-haired child jumps on a green roller coaster,two colored in is hike hair festive dresses the and trail older the backpack
1479857177_9d4a6f38fd.jpg,"['a man in a scuba suit holds a box', 'a man scuba diving underwater', 'a yellow gloved diver with a snorkel and mask swims underwater carrying a box with a handle', 'scuba diver submerged in water', 'the scuba diver is underwater']",a male skiing rider is standing in front of the water outside of a large yellow building,a swimmer jumps from a large pool of water in a life suit,the scuba under shirt underwater in underwater a water on lobster at rock stick
1481062342_d9e34366c4.jpg,"['a little girl in pajamas runs down a hall with hardwood floors', 'a little girl is running down a hardwood floored hallway', 'a little girl running down a brighly lit hallway', 'a toddler is running down a hallway', 'a young girl runs down a hallway with wooden floors']",a male jumps over a rock,a very climber with a red girl holds one leg,the child is is shorts floor a and little a in decorated with a
1491192153_7c395991e5.jpg,"['a man putting a little boy wearing orange into a child swing', 'a young child being placed into a child swing by another adult', 'heavyset man taking child out of swing set', 'parent holding up a child over a swing', 'the adult is helping the child into the swing']",a male jumps over a rock,a blond child with a blue shirt swinging on a red tricycle in a yellow tennis hat,an girl with is a on shirt sunglasses who a in the by bottle behind
1499554025_a8ffe0e479.jpg,"['a group of females in white suits are in a petting zoo with two goats', 'a group of people in white stand with white goats', 'people dressed in all white are looking at some shaved lambs', 'the people have some animals with them', 'two light-colored female goats in an indoor arena with handlers dressed in white']",a chubby pot looks at a little girl wearing red,a shirtless man runs on a beach into bed,five people of on at on near holding wearing car a
1505686764_9e3bcd854a.jpg,"['a man in red shorts is walking along rocks by a river carrying a stick', 'a man in red shorts standing on rocks by a stream', 'a man is walking on rocks with water flowing around them', 'a shirtless man standing on the edge of a stream', 'the hiker nears a creek']",a closeup of a boy in a wetsuit with people,a town photo of a white and team pipe congregate,the girl wearing is shorts swimming elephant in the up water helmet
150582765_bad8dec237.jpg,"['a girl wearing a pink hoodie looks through her camera', 'a woman in pink taking a picture', 'a woman takes a picture during the day', 'a young woman in a pink hoodie takes a picture', 'woman with red curly hair taking pictures outside']",a figure looking through a picture,a shirtless man wearing a black shirt smiling while her dog tries to get the other man,an girl lady is white is stands little other window her a by is looking
1509786421_f03158adfc.jpg,"['a boy points', 'a boy points at something while a man looks', 'a boy smiles at points at something a man looks to the side', ""a little boy smiles and points while a man looks in the direction of the child's gaze"", 'the man in the blue shirt is looking in the direction to which the little boy is pointing']",a photographer appears to catch a woman outside with pink and grey rollerskates,a lone lady with a red shirt takes a video yellow symbol down a road,the boxers man paddling trying is he does out man front move with baby area
1523800748_a59e980eee.jpg,"['boy and girl running along the beach', 'two children run in the sand along the shore', 'two children run towards the lagoon', 'two little kids are running through the sand to get to the ocean', 'two young children running along a sandy beach']",a female takes the baby in a school formation,a male haired to someone swinging,the girl in shoes the barefoot beach to beach beach beach a the dune
1557838421_a33f2a4911.jpg,"['a grey and white dog is biting the ear of a white and brown dog', 'the brown and white dog nips at the yellow dog', 'there are two dogs playing with each other', 'two dogs wrestle with each other with their teeth bared', 'two large dogs attempt to bite each other playfully']",a very brown dog is running in grass,a grey dog playing with a black dog and jumping a barrier,a brown standing is something sprints in in
1569562856_eedb5a0a1f.jpg,"['a man in a black jacket is has a white headphone in his ear', 'a man in a black jacket is in front of a map', 'a man listening to his ipod looks at the subway maps', 'a man with a jacket wears headphones standing in front of a directory', 'a young man is wearing a black jacket and has white earphones in his ears']",a couple dressed in a black and yellow metal costume,a police officer plays a man in shadow on the grass as he stands in a crowd,an people of outside each is a on window hats girl something man a
1579287915_4257c54451.jpg,"['a lone man stands on a rocky outcropping and looks out over the wilderness', 'a man in shorts and a black jacket stands on top of a big rock looking down on hills and valleys', 'a man is standing on a big rock overlooking a valley', 'a man stands atop a large mountain of rocks', 'man standing on edge of large rock overlooking scenic view']",a male ski climbs a rock,a cyclist riding a bike,two man are is hike of festive dresses the and theater is the it water
1580172290_e19067e0dd.jpg,"['a baby and a young boy playing', 'a young boy crawls with a toddler', 'two children on hands and knees on a wood floor', 'two kids play on the floor', 'two young babies crawling on a wood floor']",a male jumps over a rock,a old woman with a blue shirt takes a you and umpire from the air,the boxers man paddling trying is he does the red onto move with baby
160792599_6a7ec52516.jpg,"['a group of people stand in the sand looking out at the water', 'five people look out toward the ocean', 'five people standing in front of a body of water', 'three men and two women stand facing the ocean from the shore on a sunny day', 'two ladies and three men looking at the ocean']",a shirtless boy standing in a blue swimsuit through the water outside of a large large tree,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a group are three beach walks beach pier
1620397000_3883e3ecd3.jpg,"['a black and white spotted dog is jumping over the small stream of water', 'a black and white spotted dog jumps over a stream', 'a dog jumps over a creek', 'a spotted dog jumps over a muddy creek', 'a white dog with black spots jumps over a stream']",a golden retriever jumps on a red chest with his mouth wide open,a fluffy black dog is running in shallow water,a lean dog is dog on
1670592963_39731a3dac.jpg,"['a collie runs down a slide', 'a dog is running down a ramp', 'dog is jumping down a ramp', 'the collie is running down a blue and yellow board', 'there is a brown and white dog jumping off of a see-saw']",a furry black dog is running in grass,a beige dog jumping on a red tube,the dog leaps is a is an over hurdle
1732217138_aa0199ef87.jpg,"['the couple eat their meal outside', 'two people sit on a bench', 'two people sitting facing away with dreadlocks', 'two people with dreadlocks', 'two people with dreadlocks sit on a wooden bench']",a happy officer wearing a black black tank top hat on top of a smiling black large building,a toddler stands on a dirt hill with his tongue her lights him,an boxers man complimentary tea to festive patrons
1764955991_5e53a28c87.jpg,"['a brown and white dog trotting down the road in autumn', 'a brown dog is carrying a ball up the road', 'a dog with a ball in his mouth running down a road covered in leaves', 'a large dog walks along a gravel path in the woods', 'a tan and white dog retrieving a ball on a gravel path']",a fluffy brown dog is running in grass,a light brown dog is running in front of snow,woman lean dog is through on to dirt the area trail
177302997_5b2d770a0a.jpg,"['a child holding on to the bar while riding a horse on a carousel ride', 'a child is riding a plastic horse at an amusement park', 'a child on a fake horse ride', 'a child sitting on a carousel horse', 'row of plastic horses that form a childrens ride with one child riding']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a holding of shirt a body stands race by around coffee while in a of
1781227288_6811e734be.jpg,"['a man in yellow stands in a garbage strewn underpass', 'a man stands near garbage and a spray painted drawing', 'a man wearing a yellow shirt is standing in front of a cement wall with drawings on it', 'a man wearing a yellow shirt standing in the middle of a bunch of garbage and a graffitied wall', 'a man wearing a yellow shirt standing near some refuse']",a few other girls in black and yellow dresses stand in front of a large crowd,a bunch of children in the street park sit to a reception desk,an group of teenagers at near walking his
1784309115_0ad6791146.jpg,"['a girl in the bathing suit talking to a guy', 'a woman in a bikini is talking to a regularly dressed man on a bridge', 'a woman in a small pink bikini chats on a cellphone while a man looks on outside a city shop', 'a woman in a string bathing suit with a man on a boardwalk on a foggy day', 'a woman in a pink bikini next to a man in brown']",a rollerblader flies up,a shirtless man runs on a beach one one rides a scooter on a dirt,a group of teenagers shirt are and his floor of in a
1801663973_5ad393caeb.jpg,"['a girl laying on the tree with a boy kneeling before her', 'a girl with bright red hair and black clothes is posing on a tree trunk', 'a large woman with long pink hair dressed in black is laying on a tree trunk talking to a man who is crouched down next to her', 'a red haired woman in black is posing for a man while resting on a tree', 'a woman with pink hair dressed in black talks to a man']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,an people in a a grass looking his the outdoors one a on grass
1808007704_ee8a93abb4.jpg,"['a man in a red shirt is jumping from one rock to another larger rocker with two male spotters below him', 'a man in the red shirt tried to hang onto the rock while three others watched', 'a man is hanging from the edge of a rock while two others catch him', 'a man jumping from one large rock to the next', 'a man jumps from one boulder to another and two men try to catch him as he barely makes it']",a hiker walking down a mountain,a teenage boy stands in a blue sea with their mouth spread out,a man in a red the large jeans pants up on a rock of on
181157221_e12410ef0b.jpg,"['a man and a woman walk their dogs on leashes', 'dogs straining on leashes towards each other as owners walk apart on grass', 'the two dogs are being pulled away by their owners', 'two dogs on leashes straining toward each other while their owners walk away from each other', 'two dogs try to reach each other as their human companions pull them in opposite directions by their leashes']",a father throwing the blue ball,a blonde haired girl in a white hooded dress that is punching his shirt in a park,the football playing is a jumps with in during the and a white a
1904112245_549e47c8aa.jpg,"['a dog in the forest', 'a dog standing on a log in a forest', 'a grey colored dog is licking a fallen tree in the forest', 'a grey dog explores a fallen tree in the woods', 'a medium sized dog sniffing in a forest']",a rodeo kissing on a toy,a larger brown dog is running in some sand,a lean are is on the the in steps on in
1921398767_771743bf4e.jpg,"['a dog has a wetsuit in his mouth on the beach', 'a dog on a beach dragging an item', 'a dog walking on a beach', 'a tan dog dragging a deflated innertube down the beach', 'the dog on the beach has gotten a hold of something']",a beautiful grey dog is running in green snow,a puppy splashes through the water,a lean dog brown dog the dog on beach beach beach one in beach next
1936215201_d03a75cbba.jpg,"['a baby boy plays outside with a blue toy', 'a baby carrying a ball in stands in front of a house with a hose in the background', 'a little boy is holding a blue ball in the yard', 'a male child holding a ball standing on the sidewalk', 'a young boy playing with a blue ball standing on a sidewalk']",a male jumps over a rock,a blonde haired girl in a white hooded dress that is punching his shirt in a park,a child girl is blue red are his park jumping is a playground toys
1991806812_065f747689.jpg,"['a boxer punches a boxer in the face', 'a fighter attempts to kick another fighter while the other fighter blocks his kick', 'a kickboxer jumping for a kick', 'two boxers are in the ring', 'two men kickbox in a ring one man punching the other']",a bicyclist rides down a dirt hill with others behind her,a curly haired girl in a white belt walking next to some tables,an boxers man complimentary tea to festive tickets
